prop,count,
http://www.wikidata.org/P3448,2,
http://www.wikidata.org/P3448,2,
http://www.wikidata.org/P9104,2,
http://www.wikidata.org/P9104,2,
http://www.wikidata.org/P2052,2,
http://www.wikidata.org/P2052,2,
http://www.wikidata.org/P5556,2,
http://www.wikidata.org/P5556,2,
http://www.wikidata.org/P7037,2,
http://www.wikidata.org/P7037,2,
http://www.wikidata.org/P8910,2,
http://www.wikidata.org/P8910,2,
http://www.wikidata.org/P366,2,
http://www.wikidata.org/P8519,2,
http://www.wikidata.org-normalized/P8519,2,
http://www.wikidata.org/P366,2,
http://www.wikidata.org/P8519,2,
http://www.wikidata.org/P101,2,
http://www.wikidata.org/P101,2,
http://www.wikidata.org/P4643,2,
http://www.wikidata.org/P4643,2,
http://www.wikidata.org/P433,2,
http://www.wikidata.org/P478,2,
http://www.wikidata.org/P872,2,
http://www.wikidata.org/P433,2,
http://www.wikidata.org/P478,2,
http://www.wikidata.org/P872,2,
http://www.wikidata.org/P4535,2,
http://www.wikidata.org/P4535,2,
http://www.wikidata.org/P9923,2,
http://www.wikidata.org/P9923,2,
http://www.wikidata.org/P39,2,
http://www.wikidata.org/P39,2,
http://www.wikidata.org/P7949,2,
http://www.wikidata.org/P7949,2,
http://www.wikidata.org/P607,2,
http://www.wikidata.org/P3272,2,
http://www.wikidata.org/P6332,2,
http://www.wikidata.org/P3272,2,
http://www.wikidata.org/P6332,2,
http://www.wikidata.org/P2596,2,
http://www.wikidata.org/P2596,2,
http://www.wikidata.org/P9037,2,
http://www.wikidata.org/P607,2,
http://www.wikidata.org/P9037,2,
http://www.wikidata.org/P5004,2,
http://www.wikidata.org/P5004,2,
http://www.wikidata.org/P1953,2,
http://www.wikidata.org/P1953,2,
http://www.wikidata.org/P3451,2,
http://www.wikidata.org/P3451,2,
http://www.wikidata.org/P57,2,
