item,itemLabel,oeblxml,GND
http://www.wikidata.org/entity/Q78836,Alois Negrelli von Moldelbe,N/Negrelli-Moldelbe_Alois_1799_1858,118738321
http://www.wikidata.org/entity/Q78938,Wilhelmine Neruda,N/Neruda_Wilma_1839_1911,116940255
http://www.wikidata.org/entity/Q79035,Ernestine Schumann-Heink,S/Schumann-Heink_Ernestine_1861_1936,117303704
http://www.wikidata.org/entity/Q79040,Oskar Lenz,L/Lenz_Oskar_1848_1925,116917180
http://www.wikidata.org/entity/Q79128,Robert Martinek,M/Martinek_Robert_1889_1944,137935056
http://www.wikidata.org/entity/Q79151,Othmar Spann,S/Spann_Othmar_1878_1950,118615904
http://www.wikidata.org/entity/Q79153,Charles Sealsfield,P/Postl_Karl_1793_1864,1070181080
http://www.wikidata.org/entity/Q79184,Heinrich Wawra von Fernsee,W/Wawra-Fernsee_Heinrich-Blasius_1831_1887,105535591X
http://www.wikidata.org/entity/Q84177,Carl Menger,M/Menger_Karl_1840_1921,118580841
http://www.wikidata.org/entity/Q84287,Otto Wagner,W/Wagner_Otto-Koloman_1841_1918,118628399
http://www.wikidata.org/entity/Q84516,Franz Seraph von Stadion,S/Stadion-Warthausen_Franz_1806_1853,119520702
http://www.wikidata.org/entity/Q84530,Edmund Rumpler,R/Rumpler_Edmund_1872_1940,117599026
http://www.wikidata.org/entity/Q84894,Anton Wildgans,W/Wildgans_Anton_1881_1932,118632841
http://www.wikidata.org/entity/Q85054,Fanny Starhemberg,S/Starhemberg_Franziska_1875_1943,117216445
http://www.wikidata.org/entity/Q85376,Franz Seraph von Orsini-Rosenberg,O/Orsini-Rosenberg_Franz_1761_1832,137976003
http://www.wikidata.org/entity/Q85766,Friedrich Siebenrock,S/Siebenrock_Friedrich_1853_1925,117339296
http://www.wikidata.org/entity/Q85815,Adolf Kurrein,K/Kurrein_Adolf_1846_1919,1145657508
http://www.wikidata.org/entity/Q86031,Anton Maria Schwartz,S/Schwartz_Anton-Maria_1852_1929,103334690X
http://www.wikidata.org/entity/Q86333,Anna Milder-Hauptmann,M/Milder-Hauptmann_Anna-Pauline_1785_1838,117041556
http://www.wikidata.org/entity/Q86419,Ignaz Kuranda,K/Kuranda_Ignaz_1811_1884,116615923
http://www.wikidata.org/entity/Q86460,Johann Malfatti,M/Malfatti-Monteregio_Johann_1775_1859,117540757
http://www.wikidata.org/entity/Q86629,Samuel Oppenheim,O/Oppenheim_Samuel_1857_1928,11713774X
http://www.wikidata.org/entity/Q86958,Karl Werner,W/Werner_Karl_1821_1888,118767143
http://www.wikidata.org/entity/Q87022,Karl Friedrich von Kübeck,K/Kuebeck-Kuebau_Karl-Friedrich_1780_1855,116577355
http://www.wikidata.org/entity/Q87045,Martin Stephan,S/Stephan_Martin_1777_1846,118617796
http://www.wikidata.org/entity/Q87116,Marie Renard,R/Renard_Marie_1863_1939,116438037
http://www.wikidata.org/entity/Q87347,Johann Kaspar von Seiller,S/Seiller_Johann-Kaspar_1802_1888,136374468
http://www.wikidata.org/entity/Q87526,Rudolf Wlassak,W/Wlassak_Rudolf_1865_1930,1140533770
http://www.wikidata.org/entity/Q87553,Arthur Gundaccar von Suttner,S_43/Suttner_Arthur-Gundaccar_1850_1902,101155891
http://www.wikidata.org/entity/Q87769,Ernst Emanuel von Silva-Tarouca,S/Silva-Tarouca_Ernst-Emanuel_1860_1936,127064842
http://www.wikidata.org/entity/Q87788,Friedrich Kriehuber,K/Kriehuber_Friedrich_1834_1871,130984493
http://www.wikidata.org/entity/Q87937,Gustav Niessl von Mayendorf,N/Niessl-Mayendorf_Gustav_1839_1919,117017345
http://www.wikidata.org/entity/Q88197,Rudolf Much,M/Much_Rudolf_1862_1936,117146382
http://www.wikidata.org/entity/Q88262,Hubert Sattler,S/Sattler_Hubert_1844_1928,116975121
http://www.wikidata.org/entity/Q88280,Franz Xaver Weninger,W/Weninger_Franz-Xaver_1805_1888,130155381
