i,item,itemLabel,oeblid,apis_id
14548,http://www.wikidata.org/entity/Q60623312,Hermann Czant,C/Czant_Hermann_1876_1937,86414.0
14549,http://www.wikidata.org/entity/Q60623324,Josef Julius Gf. D'Andreis de Beausson,D/Dandreis-Beausson_Josef-Julius_1788_1864,86585.0
14550,http://www.wikidata.org/entity/Q60623354,Eugen Deil,D/Deil_Eugen_1846_1908,86747.0
14551,http://www.wikidata.org/entity/Q60623369,Friedrich Dimmer,D/Dimmer_Friedrich_1855_1926,86309.0
14552,http://www.wikidata.org/entity/Q60623466,Quirin Duval de Dampierre,D/Duval-Dampierre_Quirin_1863_1936,85361.0
14553,http://www.wikidata.org/entity/Q60623369,Friedrich Dimmer,D/oebl_D_2/Dimmer_Friedrich_1855_1926,86309.0
14554,http://www.wikidata.org/entity/Q60623475,Johann Nepopmuk Eckinger,E/Eckinger_Johann-Nep_1856_1914,85495.0
14555,http://www.wikidata.org/entity/Q60623478,Alexander Frh. von Eger,E/Eger_Alexander_1844_1918,85587.0
14556,http://www.wikidata.org/entity/Q60623501,Joseph von Ellinger,E/Ellinger_Joseph_1814_1877,85235.0
14557,http://www.wikidata.org/entity/Q60623519,Julie Falkner,F/Falkner_Julie_1867_1937,84480.0
14558,http://www.wikidata.org/entity/Q60623529,Anton Felsenreich,F/Felsenreich_Anton_1848_1926,84038.0
14559,http://www.wikidata.org/entity/Q60623565,Anton Frey,F/Frey_Anton_1871_1916,82809.0
